timestamp,leader_x,leader_y,leader_velocity,leader_acceleration,leader_curvature,follower_x,follower_y,follower_velocity,follower_acceleration,desired_distance,actual_distance,distance_error,z1,z2,z3,z4,commanded_accel,commanded_velocity,commanded_angular
3487199977.139633,0.108375,0.035590,0.000000,0.000000,0.000000,-1.043331,0.060644,-0.109309,-0.048603,1.222673,1.151978,-0.070695,-0.064195,0.103450,0.108704,-0.011488,0.138388,-0.112454,0.078623
3487199977.182822,0.108375,0.035590,0.000000,0.000000,0.000000,-1.045463,0.060863,-0.105729,0.469930,1.223568,1.154115,-0.069453,-0.063039,0.102507,0.105151,-0.011042,0.129320,-0.109868,0.077938
3487199977.219703,0.108375,0.035590,0.000000,0.000000,0.000000,-1.047538,0.061087,-0.103772,-0.005121,1.224057,1.156194,-0.067863,-0.061538,0.101504,0.103212,-0.010767,0.128140,-0.107305,0.077261
3487199977.260240,0.108375,0.035590,0.000000,0.000000,0.000000,-1.049566,0.061307,-0.101319,0.099726,1.224670,1.158226,-0.066444,-0.060203,0.100553,0.100779,-0.010447,0.124279,-0.104819,0.076600
3487199977.299891,0.108375,0.035590,0.000000,0.000000,0.000000,-1.050560,0.061414,-0.097596,0.277124,1.225601,1.159223,-0.066378,-0.060172,0.100173,0.097079,-0.010033,0.109779,-0.102624,0.076254
3487199977.339943,0.108375,0.035590,0.000000,0.000000,0.000000,-1.052514,0.061624,-0.095783,0.157867,1.226054,1.161180,-0.064874,-0.058747,0.099256,0.095281,-0.009788,0.108800,-0.100448,0.075635
3487199977.380046,0.108375,0.035590,0.000000,0.000000,0.000000,-1.055352,0.061933,-0.092628,0.023671,1.226843,1.164025,-0.062818,-0.056803,0.097957,0.092151,-0.009385,0.104770,-0.098352,0.074743
3487199977.419992,0.108375,0.035590,0.000000,0.000000,0.000000,-1.056276,0.062027,-0.090719,0.287491,1.227320,1.164950,-0.062370,-0.056392,0.097537,0.090255,-0.009164,0.099051,-0.096371,0.074424
3487199977.460236,0.108375,0.035590,0.000000,0.000000,0.000000,-1.058982,0.062312,-0.089788,0.102976,1.227553,1.167662,-0.059891,-0.054017,0.096294,0.089336,-0.008998,0.105571,-0.094260,0.073639
3487199977.499893,0.108375,0.035590,0.000000,0.000000,0.000000,-1.059863,0.062410,-0.088332,0.069581,1.227917,1.168546,-0.059371,-0.053530,0.095912,0.087889,-0.008829,0.101933,-0.092221,0.073361
3487199977.539931,0.108375,0.035590,0.000000,0.000000,0.000000,-1.061598,0.062591,-0.085812,0.337146,1.228547,1.170284,-0.058263,-0.052486,0.095153,0.085387,-0.008532,0.096501,-0.090291,0.072820
3487199977.580499,0.108375,0.035590,0.000000,0.000000,0.000000,-1.063291,0.062762,-0.083860,0.112810,1.229035,1.171981,-0.057054,-0.051341,0.094409,0.083449,-0.008296,0.093728,-0.088417,0.072306
3487199977.619686,0.108375,0.035590,0.000000,0.000000,0.000000,-1.064943,0.062928,-0.081515,-0.119658,1.229621,1.173637,-0.055985,-0.050326,0.093757,0.081119,-0.008028,0.088803,-0.086640,0.071847
3487199977.659683,0.108375,0.035590,0.000000,0.000000,0.000000,-1.066561,0.063078,-0.081541,-0.299602,1.229615,1.175257,-0.054358,-0.048761,0.093005,0.081148,-0.007990,0.095601,-0.084728,0.071388
3487199977.701057,0.108375,0.035590,0.000000,0.000000,0.000000,-1.068144,0.063234,-0.078997,0.254408,1.230251,1.176843,-0.053408,-0.047869,0.092327,0.078620,-0.007703,0.089409,-0.082940,0.070895
3487199977.739807,0.108375,0.035590,0.000000,0.000000,0.000000,-1.069686,0.063393,-0.077170,0.090946,1.230708,1.178389,-0.052319,-0.046833,0.091675,0.076805,-0.007492,0.086630,-0.081208,0.070443
3487199977.780081,0.108375,0.035590,0.000000,0.000000,0.000000,-1.071196,0.063543,-0.077372,0.126142,1.230657,1.179902,-0.050755,-0.045323,0.091012,0.077010,-0.007479,0.093854,-0.079331,0.070048
3487199977.819637,0.108375,0.035590,0.000000,0.000000,0.000000,-1.072667,0.063680,-0.072864,0.080267,1.231784,1.181375,-0.050409,-0.045025,0.090461,0.072526,-0.007013,0.077370,-0.077783,0.069580
3487199977.861113,0.108375,0.035590,0.000000,0.000000,0.000000,-1.074108,0.063822,-0.070789,0.207465,1.232303,1.182819,-0.049484,-0.044151,0.089845,0.070464,-0.006783,0.072933,-0.076325,0.069139
3487199977.899995,0.108375,0.035590,0.000000,0.000000,0.000000,-1.075523,0.063957,-0.070735,-0.152073,1.232316,1.184238,-0.048079,-0.042798,0.089193,0.070412,-0.006748,0.078492,-0.074755,0.068735
3487199977.942210,0.108375,0.035590,0.000000,0.000000,0.000000,-1.076914,0.064082,-0.068913,-0.009221,1.232772,1.185631,-0.047140,-0.041904,0.088654,0.068601,-0.006549,0.075094,-0.073253,0.068359
3487199977.982529,0.108375,0.035590,0.000000,0.000000,0.000000,-1.078275,0.064216,-0.068408,-0.110795,1.232898,1.186994,-0.045904,-0.040716,0.088041,0.068101,-0.006473,0.078174,-0.071689,0.067964
3487199978.019666,0.108525,0.035688,0.000000,0.000000,0.000000,-1.078947,0.064275,-0.067720,-0.039974,1.233070,1.187816,-0.045254,-0.040088,0.087857,0.067417,-0.006395,0.078058,-0.070128,0.067862
3487199978.059734,0.108525,0.035688,0.000000,0.000000,0.000000,-1.080262,0.064411,-0.062563,0.219018,1.234359,1.189134,-0.045225,-0.040098,0.087399,0.062285,-0.005886,0.057682,-0.068975,0.067435
3487199978.101735,0.108525,0.035688,0.000000,0.000000,0.000000,-1.081550,0.064533,-0.063549,0.086366,1.234113,1.190424,-0.043689,-0.038603,0.086848,0.063269,-0.005957,0.067896,-0.067617,0.067131
3487199978.142443,0.108525,0.035688,0.000000,0.000000,0.000000,-1.082809,0.064653,-0.061781,0.316828,1.234555,1.191686,-0.042869,-0.037822,0.086366,0.061510,-0.005771,0.064222,-0.066332,0.066789
3487199978.181342,0.108525,0.035688,0.000000,0.000000,0.000000,-1.084040,0.064773,-0.061572,0.020843,1.234607,1.192919,-0.041688,-0.036679,0.085874,0.061305,-0.005733,0.068228,-0.064968,0.066488
3487199978.220025,0.108525,0.035688,0.000000,0.000000,0.000000,-1.085244,0.064883,-0.060786,0.091821,1.234803,1.194126,-0.040678,-0.035708,0.085379,0.060524,-0.005640,0.069242,-0.063583,0.066162
3487199978.259881,0.108525,0.035688,0.000000,0.000000,0.000000,-1.086422,0.064998,-0.059302,0.241502,1.235175,1.195306,-0.039868,-0.034936,0.084899,0.059047,-0.005483,0.066660,-0.062250,0.065825
3487199978.300137,0.108525,0.035688,0.000000,0.000000,0.000000,-1.087573,0.065105,-0.057231,0.066139,1.235692,1.196459,-0.039233,-0.034335,0.084473,0.056988,-0.005275,0.061028,-0.061029,0.065509
3487199978.339611,0.108525,0.035688,0.000000,0.000000,0.000000,-1.088699,0.065218,-0.055723,0.047481,1.236069,1.197588,-0.038481,-0.033619,0.084021,0.055487,-0.005119,0.058111,-0.059867,0.065188
3487199978.379784,0.108525,0.035688,0.000000,0.000000,0.000000,-1.089804,0.065324,-0.054960,0.076313,1.236260,1.198695,-0.037565,-0.032736,0.083587,0.054729,-0.005033,0.058824,-0.058690,0.064903
3487199978.419685,0.108525,0.035688,0.000000,0.000000,0.000000,-1.090886,0.065427,-0.053991,0.055945,1.236502,1.199779,-0.036723,-0.031929,0.083141,0.053765,-0.004929,0.058422,-0.057522,0.064601
3487199978.459717,0.108525,0.035688,0.000000,0.000000,0.000000,-1.091943,0.065533,-0.052356,-0.006895,1.236911,1.200839,-0.036072,-0.031307,0.082762,0.052138,-0.004766,0.054578,-0.056430,0.064328
3487199978.499705,0.108525,0.035688,0.000000,0.000000,0.000000,-1.092983,0.065619,-0.051859,-0.178789,1.237035,1.201881,-0.035154,-0.030420,0.082358,0.051645,-0.004707,0.056354,-0.055303,0.064070
3487199978.539862,0.108525,0.035688,0.000000,0.000000,0.000000,-1.094001,0.065712,-0.051021,0.031104,1.237245,1.202900,-0.034344,-0.029640,0.081973,0.050812,-0.004618,0.056332,-0.054177,0.063814
